,user_id,tool_id,s_overall_score,b_overall_score
5,0.0,5.0,2.3983156617825405,2.7156634879216464
8,0.0,8.0,2.531613593334045,2.3858608031363664
9,0.0,9.0,2.893845210916386,2.810070350126499
10,1.0,0.0,2.865205298722304,2.6501745995746124
13,1.0,3.0,2.920868436315865,2.9390373426842102
20,2.0,0.0,3.705305487007476,3.763577549547349
23,2.0,3.0,4.0721127740665715,4.110067452494547
24,2.0,4.0,3.6102945650691693,3.9935553022452592
26,2.0,6.0,3.8742414318736405,4.064970219711702
27,2.0,7.0,4.397833495474204,4.1951137175750235
32,3.0,2.0,3.3428878561590776,3.276017551230099
34,3.0,4.0,3.1198173099876287,3.4714409576164575
37,3.0,7.0,3.501844546940576,3.624994179212075
41,4.0,1.0,3.2154901765120814,3.1772024968877615
45,4.0,5.0,3.3116784129331687,3.197033422636612
50,5.0,0.0,3.4340468639313317,3.4722063966065857
56,5.0,6.0,3.843936929290414,3.759485038360286
61,6.0,1.0,2.86624043737905,2.7845609352966405
62,6.0,2.0,2.8144304331676233,2.669410465780986
69,6.0,9.0,2.6070970180597723,2.8562377219464015
70,7.0,0.0,3.135172557276174,3.6401881062566694
73,7.0,3.0,3.454779298649883,3.996273149941448
75,7.0,5.0,3.658518409871118,3.8129712792357644
84,8.0,4.0,3.781641317475938,4.006389648923745
87,8.0,7.0,3.9559061126882655,4.200880688833063
95,9.0,5.0,3.2665678960016433,3.241434978808222
98,9.0,8.0,2.7834953692114346,2.9101403827361185
99,9.0,9.0,3.1525842284195584,3.3047688934491437
101,10.0,1.0,2.9972962745395746,2.991781738558876
106,10.0,6.0,3.1580881512712815,3.1330610235902228
108,10.0,8.0,2.8928145060562223,2.7056185596800164
113,11.0,3.0,2.8419842226991334,3.6499662671173043
115,11.0,5.0,3.3974445751713445,3.454776956085591
117,11.0,7.0,3.4091193371551123,3.7265205664310335
118,11.0,8.0,2.9523681857379898,3.134715879070533
122,12.0,2.0,3.697750152155565,3.5791674862751126
124,12.0,4.0,3.6572893575304453,3.7273085205053675
133,13.0,3.0,3.059808846284127,2.9299121685779883
138,13.0,8.0,2.268825436993221,2.4765301885787467
139,13.0,9.0,3.2706991164051105,2.8773279621645718
140,14.0,0.0,3.411434456363732,3.0739363418025656
148,14.0,8.0,3.315749447128956,2.9395885717633825
149,14.0,9.0,4.068318090521354,3.368811227961979
152,15.0,2.0,2.8926710368174304,2.9861112001406083
157,15.0,7.0,3.2794447535015396,3.3802421856357165
158,15.0,8.0,2.869368984426377,2.7478110803716325
161,16.0,1.0,2.643496700051239,2.5768804017107527
163,16.0,3.0,1.7288175723621022,2.7018652197976833
169,16.0,9.0,2.6832332188769596,2.6331232146032764
175,17.0,5.0,2.988175506229786,2.546309554077945
176,17.0,6.0,3.0712556774529487,2.7092398044414434
177,17.0,7.0,3.7138259485982608,2.8044940767651734
183,18.0,3.0,3.108297963012523,3.3836527206401357
184,18.0,4.0,3.1925327869593145,3.3097847436500096
186,18.0,6.0,3.5859910268389403,3.356479188547115
190,19.0,0.0,2.9400733046350567,3.1065774357552307
192,19.0,2.0,3.093164129788619,3.1646160459389807
193,19.0,3.0,2.8132917667032307,3.434982581617599
198,19.0,8.0,2.754461296863099,2.9419228383257527
202,20.0,2.0,3.172824945929163,3.0686138149936144
203,20.0,3.0,3.640520974720691,3.340086121574348
205,20.0,5.0,3.3020476612214016,3.1764713248269887
209,20.0,9.0,3.4108947192608943,3.2594940212373498
210,21.0,0.0,2.638049313946139,2.4458204970225066
214,21.0,4.0,2.8040001432698745,2.778554863983866
221,22.0,1.0,2.887078223353515,2.555669806676076
227,22.0,7.0,2.981838759244057,2.8015701244646736
232,23.0,2.0,2.6241578914718304,3.131147937821143
236,23.0,6.0,3.298214402534427,3.383213595309629
239,23.0,9.0,3.1787787113603856,3.326646294064088
241,24.0,1.0,3.7156130911770466,3.588801095726512
243,24.0,3.0,3.1593484852281164,3.759954676580672
246,24.0,6.0,3.9531220758190506,3.715653928739602
