,user_id,tool_id,s_overall_score,b_overall_score
5,0.0,5.0,2.1038650083693655,2.7156634879216464
8,0.0,8.0,1.3063873608516847,2.3858608031363664
9,0.0,9.0,2.4347407803612966,2.810070350126499
10,1.0,0.0,2.054732879708668,2.6501745995746124
13,1.0,3.0,3.178735540309959,2.9390373426842102
20,2.0,0.0,4.281173272385145,3.763577549547349
23,2.0,3.0,4.482388210239822,4.110067452494547
24,2.0,4.0,3.648859739025511,3.9935553022452592
26,2.0,6.0,3.040099481965221,4.064970219711702
27,2.0,7.0,4.4625023997257935,4.1951137175750235
32,3.0,2.0,3.486844814295222,3.276017551230099
34,3.0,4.0,3.3891019658481234,3.4714409576164575
37,3.0,7.0,3.3283476549873114,3.624994179212075
41,4.0,1.0,2.040039156396537,3.1772024968877615
45,4.0,5.0,2.1158195959360704,3.197033422636612
50,5.0,0.0,2.8222748317194117,3.4722063966065857
56,5.0,6.0,3.834053888950686,3.759485038360286
61,6.0,1.0,2.35504141738631,2.7845609352966405
62,6.0,2.0,2.413363155085344,2.669410465780986
69,6.0,9.0,2.783749689533491,2.8562377219464015
70,7.0,0.0,3.5829450971488965,3.6401881062566694
73,7.0,3.0,3.915958844087582,3.996273149941448
75,7.0,5.0,3.3695745782310564,3.8129712792357644
84,8.0,4.0,3.87843383911962,4.006389648923745
87,8.0,7.0,4.345957453905415,4.200880688833063
95,9.0,5.0,3.2807320863364806,3.241434978808222
98,9.0,8.0,1.6841698245514525,2.9101403827361185
99,9.0,9.0,2.492996939210014,3.3047688934491437
101,10.0,1.0,2.2165522653699834,2.991781738558876
106,10.0,6.0,1.9973757531623235,3.1330610235902228
108,10.0,8.0,2.5394067942079204,2.7056185596800164
113,11.0,3.0,2.6517581938902475,3.6499662671173043
115,11.0,5.0,3.075622243219576,3.454776956085591
117,11.0,7.0,3.055854340349134,3.7265205664310335
118,11.0,8.0,2.9426648135331055,3.134715879070533
122,12.0,2.0,3.6250846947723976,3.5791674862751126
124,12.0,4.0,3.8135629174130776,3.7273085205053675
133,13.0,3.0,2.9235887406632313,2.9299121685779883
138,13.0,8.0,1.8283782131235335,2.4765301885787467
139,13.0,9.0,3.1742512936233265,2.8773279621645718
140,14.0,0.0,3.2341602778686775,3.0739363418025656
148,14.0,8.0,2.7174599661119982,2.9395885717633825
149,14.0,9.0,4.510695649922346,3.368811227961979
152,15.0,2.0,3.4740048096361478,2.9861112001406083
157,15.0,7.0,2.931756272589333,3.3802421856357165
158,15.0,8.0,2.3519569858888563,2.7478110803716325
161,16.0,1.0,1.9633431719263041,2.5768804017107527
163,16.0,3.0,1.5186931962554544,2.7018652197976833
169,16.0,9.0,2.1330330959674275,2.6331232146032764
175,17.0,5.0,2.347969341156827,2.546309554077945
176,17.0,6.0,1.5467119371992128,2.7092398044414434
177,17.0,7.0,4.3347427455559195,2.8044940767651734
183,18.0,3.0,2.9896046719302936,3.3836527206401357
184,18.0,4.0,3.7653661244609546,3.3097847436500096
186,18.0,6.0,4.1725664325836656,3.356479188547115
190,19.0,0.0,2.301015643259263,3.1065774357552307
192,19.0,2.0,2.854212332803377,3.1646160459389807
193,19.0,3.0,2.9667888975395216,3.434982581617599
198,19.0,8.0,2.5062115411496917,2.9419228383257527
202,20.0,2.0,3.093720892441056,3.0686138149936144
203,20.0,3.0,4.303849944803881,3.340086121574348
205,20.0,5.0,3.104972466687661,3.1764713248269887
209,20.0,9.0,4.5250386188981935,3.2594940212373498
210,21.0,0.0,2.352083451310167,2.4458204970225066
214,21.0,4.0,2.542013509552981,2.778554863983866
221,22.0,1.0,1.409098565706326,2.555669806676076
227,22.0,7.0,2.0303602349598813,2.8015701244646736
232,23.0,2.0,3.2299917174940966,3.131147937821143
236,23.0,6.0,2.4061154051354086,3.383213595309629
239,23.0,9.0,2.650627484386234,3.326646294064088
241,24.0,1.0,3.5508878599121276,3.588801095726512
243,24.0,3.0,3.254936590950853,3.759954676580672
246,24.0,6.0,3.121021142683398,3.715653928739602
248,24.0,8.0,1.5687658970360896,3.2506021960615055
253,25.0,3.0,3.221239506378202,3.499110767934721
256,25.0,6.0,3.0518731782147275,3.4685273220776445
260,26.0,0.0,1.9704913931821395,2.701642141183652
267,26.0,7.0,2.658779227716546,3.0767548241133884
271,27.0,1.0,2.0099136979350734,2.624965773400654
272,27.0,2.0,1.7625136886621895,2.4973030958786233
274,27.0,4.0,2.2155003772709403,2.814997189815071
280,28.0,0.0,2.2658163714190955,3.057913255564018
282,28.0,2.0,2.896156407595996,3.1514887604640753
288,28.0,8.0,2.009629901874965,2.913998033419361
295,29.0,5.0,3.1684728025009705,2.878688962641278
299,29.0,9.0,2.8038363557674826,2.9421233152076476
300,30.0,0.0,2.3042632876906737,3.0221631820352037
309,30.0,9.0,3.636438202478242,3.267727851269907
314,31.0,4.0,1.7355324894496058,2.59194625571997
315,31.0,5.0,1.9713931057222536,2.386490318492721
326,32.0,6.0,3.560301887044142,3.7409548655918616
327,32.0,7.0,3.185255341827772,3.864781544947003
328,32.0,8.0,1.9145828939388678,3.2594782373986138
333,33.0,3.0,3.350665732630578,3.282710175908826
337,33.0,7.0,3.0505282677325556,3.3725143196917373
341,34.0,1.0,3.515162261574541,3.2592815696977855
342,34.0,2.0,3.5343623428752173,3.1622184482332836
346,34.0,6.0,4.5392828912101875,3.393234280874304
355,35.0,5.0,3.585910164365839,3.7384209966731854
357,35.0,7.0,3.1328755069118785,4.0220958755899305
358,35.0,8.0,3.452133161479934,3.4063982712816037
361,36.0,1.0,4.35441483035454,3.837704239603305
362,36.0,2.0,3.5003642960887786,3.7628686179612583
364,36.0,4.0,4.1839496006220855,3.919271508939189
366,36.0,6.0,3.4986503830952755,3.9840394010881646
375,37.0,5.0,1.5749944795859696,2.9168247289791083
377,37.0,7.0,1.8481255957695368,3.2122994302374592
379,37.0,9.0,2.471591836253452,3.0259883689805247
380,38.0,0.0,2.3854597444941774,2.8795811138086496
381,38.0,1.0,2.572375051815769,3.0783571537123455
393,39.0,3.0,3.581848163268224,3.635455581430377
394,39.0,4.0,3.847841955812858,3.579217588536173
397,39.0,7.0,4.3371346139398215,3.770686721277075
404,40.0,4.0,3.9414226856802403,4.031287702040723
409,40.0,9.0,3.5831637314347207,4.023145202477697
411,41.0,1.0,3.4681234451974152,3.737196642316041
413,41.0,3.0,3.965021252069615,3.910457346775247
419,41.0,9.0,4.115820008259739,3.8204082797494037
425,42.0,5.0,2.105114347875833,3.0293155998741876
426,42.0,6.0,2.2701523853668872,3.1810366730065898
427,42.0,7.0,2.1463409830709566,3.285372920452207
430,43.0,0.0,2.793028361500877,2.5722740967473605
435,43.0,5.0,2.270857563350465,2.732258142112464
442,44.0,2.0,2.894567377061143,2.8607709421510554
443,44.0,3.0,2.2354216676143923,3.1192328298230674
448,44.0,8.0,2.2298121790194205,2.635008843627144
452,45.0,2.0,2.860550888059134,2.771131126912922
453,45.0,3.0,3.4310086189421587,3.047050413206654
464,46.0,4.0,3.5849975989396836,3.786784608552112
468,46.0,8.0,2.8919068111429604,3.3790790122288232
473,47.0,3.0,1.5802036456774675,2.4779644085955232
476,47.0,6.0,2.0312393505495803,2.519052985801913
477,47.0,7.0,3.1122120258909973,2.5835949949855945
480,48.0,0.0,3.159347972630845,3.492416588135116
485,48.0,5.0,3.5143460841689214,3.672978582146145
491,49.0,1.0,2.294081819931528,2.636227312878671
499,49.0,9.0,2.2305037570371127,2.7262432660743787
502,50.0,2.0,2.1386266047256637,2.3559984494996806
503,50.0,3.0,1.8128962731450218,2.638464196148616
506,50.0,6.0,3.5972791289688204,2.6496400969420186
508,50.0,8.0,1.7216535579807586,2.1779817808224253
509,50.0,9.0,2.158747842337862,2.562127531220153
511,51.0,1.0,3.237756396889374,3.236876647871057
516,51.0,6.0,3.635971932894987,3.391765657080491
518,51.0,8.0,1.9228261595654537,2.912329360260794
520,52.0,0.0,2.2222660150939424,2.093996908377009
521,52.0,1.0,1.8446752512538638,2.2248618322334273
524,52.0,4.0,2.810175177391052,2.4303499910804964
527,52.0,7.0,2.5642718159711175,2.470038954002281
530,53.0,0.0,3.168490936031174,2.7809163751413566
533,53.0,3.0,2.842016574816881,3.0816935388917455
536,53.0,6.0,2.534259641746355,3.076387725758331
539,53.0,9.0,4.3643620685420945,3.014384849838417
545,54.0,5.0,3.7069588204819004,3.8452234848560085
547,54.0,7.0,4.036499920761639,4.111680014369532
0,0.0,0.0,1.0,1.0
1,0.0,1.0,3.0,3.0
2,0.0,2.0,1.0,1.0
3,0.0,3.0,3.0,3.0
4,0.0,4.0,3.0,3.0
6,0.0,6.0,3.0,3.0
7,0.0,7.0,2.0,2.0
11,1.0,1.0,1.0,1.0
12,1.0,2.0,2.0,2.0
14,1.0,4.0,4.0,4.0
15,1.0,5.0,2.0,2.0
16,1.0,6.0,2.0,2.0
17,1.0,7.0,3.0,3.0
18,1.0,8.0,3.0,3.0
19,1.0,9.0,2.0,2.0
21,2.0,1.0,4.0,4.0
22,2.0,2.0,5.0,5.0
25,2.0,5.0,5.0,5.0
28,2.0,8.0,5.0,5.0
29,2.0,9.0,5.0,5.0
30,3.0,0.0,4.0,4.0
31,3.0,1.0,4.0,4.0
33,3.0,3.0,4.0,4.0
35,3.0,5.0,4.0,4.0
36,3.0,6.0,3.0,3.0
38,3.0,8.0,3.0,3.0
39,3.0,9.0,3.0,3.0
40,4.0,0.0,2.0,2.0
42,4.0,2.0,3.0,3.0
43,4.0,3.0,4.0,4.0
44,4.0,4.0,4.0,4.0
46,4.0,6.0,3.0,3.0
47,4.0,7.0,5.0,5.0
48,4.0,8.0,2.0,2.0
49,4.0,9.0,3.0,3.0
51,5.0,1.0,5.0,5.0
52,5.0,2.0,3.0,3.0
53,5.0,3.0,5.0,5.0
54,5.0,4.0,5.0,5.0
55,5.0,5.0,4.0,4.0
57,5.0,7.0,4.0,4.0
58,5.0,8.0,3.0,3.0
59,5.0,9.0,4.0,4.0
60,6.0,0.0,2.0,2.0
63,6.0,3.0,3.0,3.0
64,6.0,4.0,3.0,3.0
65,6.0,5.0,2.0,2.0
66,6.0,6.0,2.0,2.0
67,6.0,7.0,3.0,3.0
68,6.0,8.0,2.0,2.0
71,7.0,1.0,5.0,5.0
72,7.0,2.0,4.0,4.0
74,7.0,4.0,5.0,5.0
76,7.0,6.0,5.0,5.0
77,7.0,7.0,5.0,5.0
78,7.0,8.0,4.0,4.0
79,7.0,9.0,4.0,4.0
80,8.0,0.0,5.0,5.0
81,8.0,1.0,5.0,5.0
82,8.0,2.0,5.0,5.0
83,8.0,3.0,5.0,5.0
85,8.0,5.0,5.0,5.0
86,8.0,6.0,5.0,5.0
88,8.0,8.0,4.0,4.0
89,8.0,9.0,4.0,4.0
90,9.0,0.0,3.0,3.0
91,9.0,1.0,2.0,2.0
92,9.0,2.0,4.0,4.0
93,9.0,3.0,3.0,3.0
94,9.0,4.0,4.0,4.0
96,9.0,6.0,3.0,3.0
97,9.0,7.0,5.0,5.0
100,10.0,0.0,3.0,3.0
102,10.0,2.0,4.0,4.0
103,10.0,3.0,4.0,4.0
104,10.0,4.0,5.0,5.0
105,10.0,5.0,2.0,2.0
107,10.0,7.0,1.0,1.0
109,10.0,9.0,1.0,1.0
110,11.0,0.0,3.0,3.0
111,11.0,1.0,5.0,5.0
112,11.0,2.0,4.0,4.0
114,11.0,4.0,4.0,4.0
116,11.0,6.0,5.0,5.0
119,11.0,9.0,2.0,2.0
120,12.0,0.0,4.0,4.0
121,12.0,1.0,3.0,3.0
123,12.0,3.0,4.0,4.0
125,12.0,5.0,4.0,4.0
126,12.0,6.0,5.0,5.0
127,12.0,7.0,5.0,5.0
128,12.0,8.0,4.0,4.0
129,12.0,9.0,4.0,4.0
130,13.0,0.0,3.0,3.0
131,13.0,1.0,2.0,2.0
132,13.0,2.0,1.0,1.0
134,13.0,4.0,2.0,2.0
135,13.0,5.0,3.0,3.0
136,13.0,6.0,4.0,4.0
137,13.0,7.0,1.0,1.0
141,14.0,1.0,3.0,3.0
142,14.0,2.0,2.0,2.0
143,14.0,3.0,4.0,4.0
