,user_id,tool_id,s_overall_score,b_overall_score
5,0.0,5.0,3.0380829793094546,2.7156634879216464
8,0.0,8.0,3.053619573478142,2.3858608031363664
9,0.0,9.0,3.156641450874336,2.810070350126499
10,1.0,0.0,3.1134281428670607,2.6501745995746124
13,1.0,3.0,3.0877757231990004,2.9390373426842102
20,2.0,0.0,3.2524411416069037,3.763577549547349
23,2.0,3.0,3.2814802530157925,4.110067452494547
24,2.0,4.0,3.237029794645258,3.9935553022452592
26,2.0,6.0,3.3044098484514546,4.064970219711702
27,2.0,7.0,3.3465967249692956,4.1951137175750235
32,3.0,2.0,3.1617457050541065,3.276017551230099
34,3.0,4.0,3.189436266664731,3.4714409576164575
37,3.0,7.0,3.212751817649867,3.624994179212075
41,4.0,1.0,3.150259699978485,3.1772024968877615
45,4.0,5.0,3.1849126751315757,3.197033422636612
50,5.0,0.0,3.2141831833040473,3.4722063966065857
56,5.0,6.0,3.303126105085065,3.759485038360286
61,6.0,1.0,3.1014323142675053,2.7845609352966405
62,6.0,2.0,3.0795088228615697,2.669410465780986
69,6.0,9.0,3.0877202767738456,2.8562377219464015
70,7.0,0.0,3.19194734700612,3.6401881062566694
73,7.0,3.0,3.1853476926390543,3.996273149941448
75,7.0,5.0,3.249963146803883,3.8129712792357644
84,8.0,4.0,3.2783683689720897,4.006389648923745
87,8.0,7.0,3.294774476041923,4.200880688833063
95,9.0,5.0,3.1871448506929956,3.241434978808222
98,9.0,8.0,3.097312259562874,2.9101403827361185
99,9.0,9.0,3.205381478604634,3.3047688934491437
101,10.0,1.0,3.119251805758953,2.991781738558876
106,10.0,6.0,3.1896753791374723,3.1330610235902228
108,10.0,8.0,3.1438981552550005,2.7056185596800164
113,11.0,3.0,3.062412402183903,3.6499662671173043
115,11.0,5.0,3.2063602026039613,3.454776956085591
117,11.0,7.0,3.1992608821441237,3.7265205664310335
118,11.0,8.0,3.168590260092695,3.134715879070533
122,12.0,2.0,3.2213831289721275,3.5791674862751126
124,12.0,4.0,3.251740594120359,3.7273085205053675
133,13.0,3.0,3.1161616641171506,2.9299121685779883
138,13.0,8.0,3.0499987449976396,2.4765301885787467
139,13.0,9.0,3.2192153884018584,2.8773279621645718
140,14.0,0.0,3.201650082775876,3.0739363418025656
148,14.0,8.0,3.1739571171137184,2.9395885717633825
149,14.0,9.0,3.41284810041343,3.368811227961979
152,15.0,2.0,3.0761940477766503,2.9861112001406083
157,15.0,7.0,3.1739898211970328,3.3802421856357165
158,15.0,8.0,3.10790324114291,2.7478110803716325
161,16.0,1.0,3.0561411750370056,2.5768804017107527
163,16.0,3.0,2.8550181686982277,2.7018652197976833
169,16.0,9.0,3.1176057080439157,2.6331232146032764
175,17.0,5.0,3.1338233130691204,2.546309554077945
176,17.0,6.0,3.173380500570217,2.7092398044414434
177,17.0,7.0,3.231055608574763,2.8044940767651734
183,18.0,3.0,3.1173536414524565,3.3836527206401357
184,18.0,4.0,3.1663054121364196,3.3097847436500096
186,18.0,6.0,3.2459964747810783,3.356479188547115
190,19.0,0.0,3.1325970463994617,3.1065774357552307
192,19.0,2.0,3.1208708897340394,3.1646160459389807
193,19.0,3.0,3.0778457792129235,3.434982581617599
198,19.0,8.0,3.0984833255495414,2.9419228383257527
202,20.0,2.0,3.130532628261607,3.0686138149936144
203,20.0,3.0,3.2026321691553887,3.340086121574348
205,20.0,5.0,3.1850130517261586,3.1764713248269887
209,20.0,9.0,3.2922450848215012,3.2594940212373498
210,21.0,0.0,3.076729005894265,2.4458204970225066
214,21.0,4.0,3.1033176066692665,2.778554863983866
221,22.0,1.0,3.100113423301754,2.555669806676076
227,22.0,7.0,3.1257472136838973,2.8015701244646736
232,23.0,2.0,2.9857062586326943,3.131147937821143
236,23.0,6.0,3.2028101995293277,3.383213595309629
239,23.0,9.0,3.1969181420634483,3.326646294064088
241,24.0,1.0,3.211313187493871,3.588801095726512
243,24.0,3.0,3.1367951885347685,3.759954676580672
246,24.0,6.0,3.371910982138594,3.715653928739602
248,24.0,8.0,3.13372525203599,3.2506021960615055
253,25.0,3.0,3.126217011536087,3.499110767934721
256,25.0,6.0,3.235323107915153,3.4685273220776445
260,26.0,0.0,3.122051938605832,2.701642141183652
267,26.0,7.0,3.1572587519889934,3.0767548241133884
271,27.0,1.0,3.0628026395491457,2.624965773400654
272,27.0,2.0,2.9255902552126143,2.4973030958786233
274,27.0,4.0,3.0820703603906825,2.814997189815071
280,28.0,0.0,3.04414538667321,3.057913255564018
282,28.0,2.0,3.1190774539493407,3.1514887604640753
288,28.0,8.0,3.1027412808994703,2.913998033419361
295,29.0,5.0,3.1757672495235156,2.878688962641278
299,29.0,9.0,3.211753657539871,2.9421233152076476
300,30.0,0.0,3.1607253908230852,3.0221631820352037
309,30.0,9.0,3.2398637090598816,3.267727851269907
314,31.0,4.0,3.0576306072956307,2.59194625571997
315,31.0,5.0,3.0684398512003765,2.386490318492721
326,32.0,6.0,3.244852510241431,3.7409548655918616
327,32.0,7.0,3.189776128742598,3.864781544947003
328,32.0,8.0,3.1317582724430966,3.2594782373986138
333,33.0,3.0,3.1416712575353722,3.282710175908826
337,33.0,7.0,3.2015187750561505,3.3725143196917373
341,34.0,1.0,3.2021483043253602,3.2592815696977855
342,34.0,2.0,3.179205494068203,3.1622184482332836
346,34.0,6.0,3.427152862220217,3.393234280874304
355,35.0,5.0,3.244139603688253,3.7384209966731854
357,35.0,7.0,3.288785486456014,4.0220958755899305
358,35.0,8.0,3.173293488371388,3.4063982712816037
361,36.0,1.0,3.222284888466512,3.837704239603305
362,36.0,2.0,3.2084352714964703,3.7628686179612583
364,36.0,4.0,3.395545357188518,3.919271508939189
366,36.0,6.0,3.3050836713008036,3.9840394010881646
375,37.0,5.0,3.01950768313014,2.9168247289791083
377,37.0,7.0,3.142464988682759,3.2122994302374592
379,37.0,9.0,3.182662472736112,3.0259883689805247
380,38.0,0.0,3.145859838363901,2.8795811138086496
381,38.0,1.0,3.1558603097897806,3.0783571537123455
393,39.0,3.0,3.1546951853337277,3.635455581430377
394,39.0,4.0,3.198559687977796,3.579217588536173
