,user_id,tool_id,s_overall_score,b_overall_score
5,0.0,5.0,1.9833667519302953,2.7156634879216464
8,0.0,8.0,1.3226146171768842,2.3858608031363664
9,0.0,9.0,2.910181720928321,2.810070350126499
10,1.0,0.0,1.6480914369336357,2.6501745995746124
13,1.0,3.0,3.6463685933602608,2.9390373426842102
20,2.0,0.0,3.740068116076616,3.763577549547349
23,2.0,3.0,4.204759004499254,4.110067452494547
24,2.0,4.0,3.8068031506183666,3.9935553022452592
26,2.0,6.0,3.727420197848359,4.064970219711702
27,2.0,7.0,5.125680459704711,4.1951137175750235
32,3.0,2.0,3.3905614970496893,3.276017551230099
34,3.0,4.0,3.2147228287004386,3.4714409576164575
37,3.0,7.0,2.959658536765398,3.624994179212075
41,4.0,1.0,2.6763854703996457,3.1772024968877615
45,4.0,5.0,2.469719073857645,3.197033422636612
50,5.0,0.0,2.9057604564244497,3.4722063966065857
56,5.0,6.0,4.203971254727483,3.759485038360286
61,6.0,1.0,3.147203821097453,2.7845609352966405
62,6.0,2.0,2.4775561192298925,2.669410465780986
69,6.0,9.0,2.691107121378661,2.8562377219464015
70,7.0,0.0,3.6134739341138653,3.6401881062566694
73,7.0,3.0,3.3270946075127257,3.996273149941448
75,7.0,5.0,3.3217145423880585,3.8129712792357644
84,8.0,4.0,3.7445001624959633,4.006389648923745
87,8.0,7.0,4.069497772758417,4.200880688833063
95,9.0,5.0,2.987684027053911,3.241434978808222
98,9.0,8.0,1.6106941512148472,2.9101403827361185
99,9.0,9.0,2.037266042946983,3.3047688934491437
101,10.0,1.0,1.7763175790267696,2.991781738558876
106,10.0,6.0,2.630327607602711,3.1330610235902228
108,10.0,8.0,2.711426579931392,2.7056185596800164
113,11.0,3.0,2.6085997728157495,3.6499662671173043
115,11.0,5.0,3.2238104510265484,3.454776956085591
117,11.0,7.0,2.9683690052109424,3.7265205664310335
118,11.0,8.0,3.097554542034398,3.134715879070533
122,12.0,2.0,4.210673565332487,3.5791674862751126
124,12.0,4.0,4.017991252244739,3.7273085205053675
133,13.0,3.0,2.688312059992773,2.9299121685779883
138,13.0,8.0,2.379468578387019,2.4765301885787467
139,13.0,9.0,2.8542442993006336,2.8773279621645718
140,14.0,0.0,3.046221064191659,3.0739363418025656
148,14.0,8.0,2.8214680103542626,2.9395885717633825
149,14.0,9.0,4.172283505531118,3.368811227961979
152,15.0,2.0,3.2580234870879483,2.9861112001406083
157,15.0,7.0,2.8018894181358136,3.3802421856357165
158,15.0,8.0,2.856783318125997,2.7478110803716325
161,16.0,1.0,2.844744594418249,2.5768804017107527
163,16.0,3.0,1.775562461237449,2.7018652197976833
169,16.0,9.0,2.5365643577850894,2.6331232146032764
175,17.0,5.0,3.0112235859324445,2.546309554077945
176,17.0,6.0,2.073403099822128,2.7092398044414434
177,17.0,7.0,4.334288997734353,2.8044940767651734
183,18.0,3.0,2.688312059992773,3.3836527206401357
184,18.0,4.0,3.9905026408328657,3.3097847436500096
186,18.0,6.0,3.642577332510635,3.356479188547115
190,19.0,0.0,2.189836388278394,3.1065774357552307
192,19.0,2.0,2.8926826807230346,3.1646160459389807
193,19.0,3.0,3.6341674457685387,3.434982581617599
198,19.0,8.0,2.672253290526076,2.9419228383257527
202,20.0,2.0,2.4791577247155407,3.0686138149936144
203,20.0,3.0,4.329343734675549,3.340086121574348
205,20.0,5.0,2.9438264613789937,3.1764713248269887
209,20.0,9.0,4.288557732422119,3.2594940212373498
210,21.0,0.0,2.3927934626588336,2.4458204970225066
214,21.0,4.0,2.154399131703338,2.778554863983866
221,22.0,1.0,1.7901169038695603,2.555669806676076
227,22.0,7.0,1.8952728731070365,2.8015701244646736
232,23.0,2.0,2.968194906563947,3.131147937821143
236,23.0,6.0,3.333284022790867,3.383213595309629
239,23.0,9.0,3.0229808417999617,3.326646294064088
241,24.0,1.0,3.3695713963731952,3.588801095726512
243,24.0,3.0,3.679593392791182,3.759954676580672
246,24.0,6.0,3.4803550847565115,3.715653928739602
248,24.0,8.0,1.9269779312273367,3.2506021960615055
253,25.0,3.0,2.7473217375345516,3.499110767934721
256,25.0,6.0,3.8900608337526013,3.4685273220776445
260,26.0,0.0,2.050074057335961,2.701642141183652
267,26.0,7.0,3.1179127555395363,3.0767548241133884
271,27.0,1.0,2.8947507126208323,2.624965773400654
272,27.0,2.0,1.9033689995502363,2.4973030958786233
274,27.0,4.0,1.6610035614276712,2.814997189815071
280,28.0,0.0,2.368451885276499,3.057913255564018
282,28.0,2.0,2.8217986893255658,3.1514887604640753
288,28.0,8.0,1.7005258992946908,2.913998033419361
295,29.0,5.0,3.281857488673856,2.878688962641278
299,29.0,9.0,3.196839054028013,2.9421233152076476
300,30.0,0.0,2.1191926093501245,3.0221631820352037
309,30.0,9.0,3.8741720436173575,3.267727851269907
314,31.0,4.0,1.367764651865386,2.59194625571997
315,31.0,5.0,1.8599398990839475,2.386490318492721
326,32.0,6.0,4.587297985438577,3.7409548655918616
327,32.0,7.0,3.651667660593374,3.864781544947003
328,32.0,8.0,2.6113027532572954,3.2594782373986138
333,33.0,3.0,3.0600718831133062,3.282710175908826
337,33.0,7.0,2.687075888399977,3.3725143196917373
341,34.0,1.0,3.7659592554804644,3.2592815696977855
342,34.0,2.0,3.212165461568521,3.1622184482332836
346,34.0,6.0,4.501047362623917,3.393234280874304
355,35.0,5.0,4.036873685185876,3.7384209966731854
357,35.0,7.0,3.4667548136853505,4.0220958755899305
358,35.0,8.0,3.4069824606965935,3.4063982712816037
361,36.0,1.0,4.149845805958556,3.837704239603305
362,36.0,2.0,3.8686802560458724,3.7628686179612583
364,36.0,4.0,4.223131152368824,3.919271508939189
366,36.0,6.0,3.9553222790210087,3.9840394010881646
375,37.0,5.0,1.5892339969372926,2.9168247289791083
377,37.0,7.0,2.3240842504171257,3.2122994302374592
379,37.0,9.0,2.884968088436449,3.0259883689805247
380,38.0,0.0,3.4223615287408466,2.8795811138086496
381,38.0,1.0,2.8452958131315995,3.0783571537123455
393,39.0,3.0,3.222624420369465,3.635455581430377
394,39.0,4.0,3.8892424409897726,3.579217588536173
397,39.0,7.0,4.241662904313648,3.770686721277075
404,40.0,4.0,3.905277727348009,4.031287702040723
409,40.0,9.0,3.611449150393648,4.023145202477697
411,41.0,1.0,4.04980165209401,3.737196642316041
413,41.0,3.0,3.9303796868287657,3.910457346775247
419,41.0,9.0,4.570137022496172,3.8204082797494037
425,42.0,5.0,2.599281014884198,3.0293155998741876
426,42.0,6.0,2.0191266153471554,3.1810366730065898
427,42.0,7.0,2.100803419762276,3.285372920452207
430,43.0,0.0,3.204274066077514,2.5722740967473605
435,43.0,5.0,1.7664033551119023,2.732258142112464
442,44.0,2.0,3.027714031747936,2.8607709421510554
443,44.0,3.0,1.6460594170266787,3.1192328298230674
448,44.0,8.0,1.6488060962240223,2.635008843627144
