,user_id,tool_id,s_overall_score,b_overall_score
5,0.0,5.0,2.3418523388752917,2.7156634879216464
8,0.0,8.0,2.484556402055972,2.3858608031363664
9,0.0,9.0,2.864669924125849,2.810070350126499
10,1.0,0.0,2.841915908093263,2.6501745995746124
13,1.0,3.0,2.8977543780575417,2.9390373426842102
20,2.0,0.0,3.735965620580643,3.763577549547349
23,2.0,3.0,4.127818491576733,4.110067452494547
24,2.0,4.0,3.6338098323581534,3.9935553022452592
26,2.0,6.0,3.9098951738962455,4.064970219711702
27,2.0,7.0,4.460517201209271,4.1951137175750235
32,3.0,2.0,3.3495323792723184,3.276017551230099
34,3.0,4.0,3.1053029293759877,3.4714409576164575
37,3.0,7.0,3.511273495742188,3.624994179212075
41,4.0,1.0,3.2114892858697317,3.1772024968877615
45,4.0,5.0,3.3115376728644534,3.197033422636612
50,5.0,0.0,3.4448804667532897,3.4722063966065857
56,5.0,6.0,3.8757393063996233,3.759485038360286
61,6.0,1.0,2.839066502978632,2.7845609352966405
62,6.0,2.0,2.7865907770609653,2.669410465780986
69,6.0,9.0,2.559488435001029,2.8562377219464015
70,7.0,0.0,3.1283725140900316,3.6401881062566694
73,7.0,3.0,3.465874677988957,3.996273149941448
75,7.0,5.0,3.6808088893917557,3.8129712792357644
84,8.0,4.0,3.8149513771054444,4.006389648923745
87,8.0,7.0,3.993430570976926,4.200880688833063
95,9.0,5.0,3.2587189567230794,3.241434978808222
98,9.0,8.0,2.7520477591172323,2.9101403827361185
99,9.0,9.0,3.1390904545451477,3.3047688934491437
101,10.0,1.0,2.9783234224155137,2.991781738558876
106,10.0,6.0,3.1470301014390714,3.1330610235902228
108,10.0,8.0,2.8654278106549,2.7056185596800164
113,11.0,3.0,2.811606801454843,3.6499662671173043
115,11.0,5.0,3.4030849828437937,3.454776956085591
117,11.0,7.0,3.4129563420076607,3.7265205664310335
118,11.0,8.0,2.9421501366270775,3.134715879070533
122,12.0,2.0,3.72625416386245,3.5791674862751126
124,12.0,4.0,3.6828781324258273,3.7273085205053675
133,13.0,3.0,3.045380520642759,2.9299121685779883
138,13.0,8.0,2.2051687851403017,2.4765301885787467
139,13.0,9.0,3.2659642165626934,2.8773279621645718
140,14.0,0.0,3.423186682078473,3.0739363418025656
148,14.0,8.0,3.319586092392875,2.9395885717633825
149,14.0,9.0,4.114533947019538,3.368811227961979
152,15.0,2.0,2.875195469208464,2.9861112001406083
157,15.0,7.0,3.2748738165153526,3.3802421856357165
158,15.0,8.0,2.844265907688097,2.7478110803716325
161,16.0,1.0,2.6025672112748595,2.5768804017107527
163,16.0,3.0,1.6334590820187742,2.7018652197976833
169,16.0,9.0,2.640771396550477,2.6331232146032764
175,17.0,5.0,2.967860310072183,2.546309554077945
176,17.0,6.0,3.0559231144986967,2.7092398044414434
177,17.0,7.0,3.739831237675702,2.8044940767651734
183,18.0,3.0,3.0974861673102154,3.3836527206401357
184,18.0,4.0,3.1897541717842586,3.3097847436500096
186,18.0,6.0,3.60674546151796,3.356479188547115
190,19.0,0.0,2.920768916311758,3.1065774357552307
192,19.0,2.0,3.083407251638704,3.1646160459389807
193,19.0,3.0,2.7839237827884915,3.434982581617599
198,19.0,8.0,2.7210241899979053,2.9419228383257527
202,20.0,2.0,3.168536309014705,3.0686138149936144
203,20.0,3.0,3.659349150015018,3.340086121574348
205,20.0,5.0,3.3012589704349438,3.1764713248269887
209,20.0,9.0,3.4129635906690226,3.2594940212373498
210,21.0,0.0,2.5992441475605474,2.4458204970225066
214,21.0,4.0,2.7752118866548017,2.778554863983866
221,22.0,1.0,2.8624717763168235,2.555669806676076
227,22.0,7.0,2.9590143466004832,2.8015701244646736
232,23.0,2.0,2.5851022588872468,3.131147937821143
236,23.0,6.0,3.297619548438945,3.383213595309629
239,23.0,9.0,3.1684897404347367,3.326646294064088
241,24.0,1.0,3.743014017510447,3.588801095726512
243,24.0,3.0,3.151320804434519,3.759954676580672
246,24.0,6.0,3.990735010236506,3.715653928739602
248,24.0,8.0,2.9739056556984167,3.2506021960615055
253,25.0,3.0,3.1598772417449226,3.499110767934721
256,25.0,6.0,3.4909211566682714,3.4685273220776445
260,26.0,0.0,2.8100411299404016,2.701642141183652
267,26.0,7.0,3.118930373173903,3.0767548241133884
271,27.0,1.0,2.638835937433356,2.624965773400654
272,27.0,2.0,1.9487705577048047,2.4973030958786233
274,27.0,4.0,2.6123564380096056,2.814997189815071
280,28.0,0.0,2.3013447565094793,3.057913255564018
282,28.0,2.0,3.054238735396275,3.1514887604640753
288,28.0,8.0,2.7699648708596882,2.913998033419361
295,29.0,5.0,3.2695224239269365,2.878688962641278
299,29.0,9.0,3.22809841332851,2.9421233152076476
300,30.0,0.0,3.0801217871188555,3.0221631820352037
309,30.0,9.0,3.34799972357235,3.267727851269907
314,31.0,4.0,2.4915549856135897,2.59194625571997
315,31.0,5.0,2.5925740332296954,2.386490318492721
326,32.0,6.0,3.52044876896489,3.7409548655918616
327,32.0,7.0,3.6140216225276305,3.864781544947003
328,32.0,8.0,3.0020153052856813,3.2594782373986138
333,33.0,3.0,3.180502212431705,3.282710175908826
337,33.0,7.0,3.418755544734701,3.3725143196917373
341,34.0,1.0,3.482718483995832,3.2592815696977855
342,34.0,2.0,3.438764200509887,3.1622184482332836
346,34.0,6.0,4.538277261277003,3.393234280874304
355,35.0,5.0,3.65380410745324,3.7384209966731854
357,35.0,7.0,3.643456308330464,4.0220958755899305
358,35.0,8.0,3.2415268314112,3.4063982712816037
361,36.0,1.0,3.7732680835315335,3.837704239603305
362,36.0,2.0,3.5865394936176713,3.7628686179612583
364,36.0,4.0,4.051375387743292,3.919271508939189
366,36.0,6.0,3.8123475658865686,3.9840394010881646
375,37.0,5.0,2.2425423356910343,2.9168247289791083
377,37.0,7.0,3.0756730208711787,3.2122994302374592
379,37.0,9.0,3.0213278550139364,3.0259883689805247
380,38.0,0.0,2.951912604688019,2.8795811138086496
381,38.0,1.0,3.1752577710606147,3.0783571537123455
393,39.0,3.0,3.305712730912717,3.635455581430377
394,39.0,4.0,3.370051333718841,3.579217588536173
397,39.0,7.0,3.964623524131099,3.770686721277075
404,40.0,4.0,3.6977887601002237,4.031287702040723
409,40.0,9.0,3.8439714955140687,4.023145202477697
411,41.0,1.0,3.6357788318444904,3.737196642316041
413,41.0,3.0,3.513035141290622,3.910457346775247
419,41.0,9.0,4.263273867053513,3.8204082797494037
425,42.0,5.0,2.6418226445155994,3.0293155998741876
426,42.0,6.0,3.097179957139545,3.1810366730065898
427,42.0,7.0,3.018325472386522,3.285372920452207
430,43.0,0.0,2.5537123210451256,2.5722740967473605
435,43.0,5.0,2.841049203641596,2.732258142112464
442,44.0,2.0,3.0732380972200275,2.8607709421510554
443,44.0,3.0,2.663298460945768,3.1192328298230674
448,44.0,8.0,2.801119805512414,2.635008843627144
452,45.0,2.0,3.384486457855431,2.771131126912922
453,45.0,3.0,3.2953975381400937,3.047050413206654
464,46.0,4.0,3.3950617159330108,3.786784608552112
468,46.0,8.0,3.1424233121616822,3.3790790122288232
473,47.0,3.0,1.1976315701747637,2.4779644085955232
476,47.0,6.0,2.489357818745262,2.519052985801913
477,47.0,7.0,2.433328472425302,2.5835949949855945
480,48.0,0.0,3.1047256861588792,3.492416588135116
485,48.0,5.0,3.424767880601884,3.672978582146145
491,49.0,1.0,2.6736832388810257,2.636227312878671
499,49.0,9.0,2.7192945336827563,2.7262432660743787
502,50.0,2.0,2.452300107724497,2.3559984494996806
503,50.0,3.0,2.397509046599936,2.638464196148616
506,50.0,6.0,2.32430543434522,2.6496400969420186
508,50.0,8.0,1.0469012078285047,2.1779817808224253
509,50.0,9.0,2.5335219767796673,2.562127531220153
511,51.0,1.0,3.4632184928789016,3.236876647871057
516,51.0,6.0,4.12364150703948,3.391765657080491
518,51.0,8.0,3.145649266431363,2.912329360260794
520,52.0,0.0,2.3777281359379288,2.093996908377009
521,52.0,1.0,1.9712595159272865,2.2248618322334273
524,52.0,4.0,2.5509691105256422,2.4303499910804964
527,52.0,7.0,2.4801090772725587,2.470038954002281
530,53.0,0.0,2.8341363099917203,2.7809163751413566
533,53.0,3.0,3.0105335129582897,3.0816935388917455
536,53.0,6.0,3.3346550568390825,3.076387725758331
539,53.0,9.0,3.1335546445394726,3.014384849838417
545,54.0,5.0,3.7348819978593895,3.8452234848560085
547,54.0,7.0,3.7345786662541514,4.111680014369532
0,0.0,0.0,1.0,1.0
1,0.0,1.0,3.0,3.0
2,0.0,2.0,1.0,1.0
3,0.0,3.0,3.0,3.0
4,0.0,4.0,3.0,3.0
6,0.0,6.0,3.0,3.0
7,0.0,7.0,2.0,2.0
11,1.0,1.0,1.0,1.0
12,1.0,2.0,2.0,2.0
14,1.0,4.0,4.0,4.0
15,1.0,5.0,2.0,2.0
16,1.0,6.0,2.0,2.0
17,1.0,7.0,3.0,3.0
18,1.0,8.0,3.0,3.0
19,1.0,9.0,2.0,2.0
21,2.0,1.0,4.0,4.0
22,2.0,2.0,5.0,5.0
25,2.0,5.0,5.0,5.0
28,2.0,8.0,5.0,5.0
29,2.0,9.0,5.0,5.0
30,3.0,0.0,4.0,4.0
31,3.0,1.0,4.0,4.0
33,3.0,3.0,4.0,4.0
35,3.0,5.0,4.0,4.0
36,3.0,6.0,3.0,3.0
38,3.0,8.0,3.0,3.0
39,3.0,9.0,3.0,3.0
40,4.0,0.0,2.0,2.0
42,4.0,2.0,3.0,3.0
43,4.0,3.0,4.0,4.0
44,4.0,4.0,4.0,4.0
46,4.0,6.0,3.0,3.0
47,4.0,7.0,5.0,5.0
48,4.0,8.0,2.0,2.0
49,4.0,9.0,3.0,3.0
51,5.0,1.0,5.0,5.0
52,5.0,2.0,3.0,3.0
53,5.0,3.0,5.0,5.0
54,5.0,4.0,5.0,5.0
55,5.0,5.0,4.0,4.0
57,5.0,7.0,4.0,4.0
58,5.0,8.0,3.0,3.0
59,5.0,9.0,4.0,4.0
60,6.0,0.0,2.0,2.0
63,6.0,3.0,3.0,3.0
64,6.0,4.0,3.0,3.0
65,6.0,5.0,2.0,2.0
66,6.0,6.0,2.0,2.0
67,6.0,7.0,3.0,3.0
68,6.0,8.0,2.0,2.0
71,7.0,1.0,5.0,5.0
72,7.0,2.0,4.0,4.0
74,7.0,4.0,5.0,5.0
76,7.0,6.0,5.0,5.0
77,7.0,7.0,5.0,5.0
78,7.0,8.0,4.0,4.0
79,7.0,9.0,4.0,4.0
80,8.0,0.0,5.0,5.0
81,8.0,1.0,5.0,5.0
82,8.0,2.0,5.0,5.0
83,8.0,3.0,5.0,5.0
85,8.0,5.0,5.0,5.0
86,8.0,6.0,5.0,5.0
88,8.0,8.0,4.0,4.0
89,8.0,9.0,4.0,4.0
90,9.0,0.0,3.0,3.0
91,9.0,1.0,2.0,2.0
92,9.0,2.0,4.0,4.0
93,9.0,3.0,3.0,3.0
94,9.0,4.0,4.0,4.0
96,9.0,6.0,3.0,3.0
97,9.0,7.0,5.0,5.0
100,10.0,0.0,3.0,3.0
102,10.0,2.0,4.0,4.0
103,10.0,3.0,4.0,4.0
104,10.0,4.0,5.0,5.0
105,10.0,5.0,2.0,2.0
107,10.0,7.0,1.0,1.0
109,10.0,9.0,1.0,1.0
110,11.0,0.0,3.0,3.0
111,11.0,1.0,5.0,5.0
112,11.0,2.0,4.0,4.0
114,11.0,4.0,4.0,4.0
116,11.0,6.0,5.0,5.0
119,11.0,9.0,2.0,2.0
120,12.0,0.0,4.0,4.0
121,12.0,1.0,3.0,3.0
123,12.0,3.0,4.0,4.0
125,12.0,5.0,4.0,4.0
126,12.0,6.0,5.0,5.0
127,12.0,7.0,5.0,5.0
128,12.0,8.0,4.0,4.0
129,12.0,9.0,4.0,4.0
130,13.0,0.0,3.0,3.0
131,13.0,1.0,2.0,2.0
132,13.0,2.0,1.0,1.0
134,13.0,4.0,2.0,2.0
135,13.0,5.0,3.0,3.0
136,13.0,6.0,4.0,4.0
137,13.0,7.0,1.0,1.0
141,14.0,1.0,3.0,3.0
142,14.0,2.0,2.0,2.0
143,14.0,3.0,4.0,4.0
144,14.0,4.0,2.0,2.0
145,14.0,5.0,4.0,4.0
146,14.0,6.0,3.0,3.0
147,14.0,7.0,5.0,5.0
150,15.0,0.0,1.0,1.0
151,15.0,1.0,3.0,3.0
153,15.0,3.0,3.0,3.0
154,15.0,4.0,3.0,3.0
155,15.0,5.0,5.0,5.0
156,15.0,6.0,2.0,2.0
159,15.0,9.0,4.0,4.0
160,16.0,0.0,3.0,3.0
162,16.0,2.0,2.0,2.0
164,16.0,4.0,2.0,2.0
165,16.0,5.0,2.0,2.0
166,16.0,6.0,1.0,1.0
167,16.0,7.0,2.0,2.0
168,16.0,8.0,2.0,2.0
170,17.0,0.0,1.0,1.0
171,17.0,1.0,1.0,1.0
172,17.0,2.0,2.0,2.0
173,17.0,3.0,2.0,2.0
174,17.0,4.0,3.0,3.0
178,17.0,8.0,2.0,2.0
179,17.0,9.0,2.0,2.0
180,18.0,0.0,2.0,2.0
181,18.0,1.0,3.0,3.0
182,18.0,2.0,4.0,4.0
185,18.0,5.0,3.0,3.0
187,18.0,7.0,4.0,4.0
188,18.0,8.0,3.0,3.0
189,18.0,9.0,4.0,4.0
191,19.0,1.0,3.0,3.0
194,19.0,4.0,3.0,3.0
195,19.0,5.0,4.0,4.0
196,19.0,6.0,4.0,4.0
197,19.0,7.0,4.0,4.0
199,19.0,9.0,3.0,3.0
200,20.0,0.0,3.0,3.0
201,20.0,1.0,2.0,2.0
204,20.0,4.0,2.0,2.0
206,20.0,6.0,5.0,5.0
207,20.0,7.0,4.0,4.0
208,20.0,8.0,3.0,3.0
211,21.0,1.0,2.0,2.0
212,21.0,2.0,2.0,2.0
213,21.0,3.0,1.0,1.0
215,21.0,5.0,3.0,3.0
216,21.0,6.0,3.0,3.0
217,21.0,7.0,1.0,1.0
218,21.0,8.0,2.0,2.0
219,21.0,9.0,2.0,2.0
220,22.0,0.0,2.0,2.0
222,22.0,2.0,1.0,1.0
223,22.0,3.0,2.0,2.0
224,22.0,4.0,2.0,2.0
225,22.0,5.0,2.0,2.0
226,22.0,6.0,3.0,3.0
228,22.0,8.0,1.0,1.0
229,22.0,9.0,2.0,2.0
230,23.0,0.0,3.0,3.0
231,23.0,1.0,4.0,4.0
233,23.0,3.0,2.0,2.0
234,23.0,4.0,5.0,5.0
235,23.0,5.0,3.0,3.0
237,23.0,7.0,4.0,4.0
238,23.0,8.0,3.0,3.0
240,24.0,0.0,4.0,4.0
242,24.0,2.0,5.0,5.0
244,24.0,4.0,5.0,5.0
