,user_id,tool_id,s_overall_score,b_overall_score
5,0.0,5.0,2.06,2.7156634879216464
8,0.0,8.0,2.08,2.3858608031363664
9,0.0,9.0,2.36,2.810070350126499
10,1.0,0.0,3.07,2.6501745995746124
13,1.0,3.0,2.6,2.9390373426842102
20,2.0,0.0,4.03,3.763577549547349
23,2.0,3.0,4.39,4.110067452494547
24,2.0,4.0,3.62,3.9935553022452592
26,2.0,6.0,3.41,4.064970219711702
27,2.0,7.0,4.72,4.1951137175750235
32,3.0,2.0,3.07,3.276017551230099
34,3.0,4.0,3.74,3.4714409576164575
37,3.0,7.0,3.52,3.624994179212075
41,4.0,1.0,2.658,3.1772024968877615
45,4.0,5.0,2.83,3.197033422636612
50,5.0,0.0,3.11,3.4722063966065857
56,5.0,6.0,3.52,3.759485038360286
61,6.0,1.0,2.3553333333333333,2.7845609352966405
62,6.0,2.0,2.64,2.669410465780986
69,6.0,9.0,2.6966666666666663,2.8562377219464015
70,7.0,0.0,3.4433333333333334,3.6401881062566694
73,7.0,3.0,3.44,3.996273149941448
75,7.0,5.0,3.52,3.8129712792357644
84,8.0,4.0,3.62,4.006389648923745
87,8.0,7.0,4.08,4.200880688833063
95,9.0,5.0,3.02,3.241434978808222
98,9.0,8.0,2.562,2.9101403827361185
99,9.0,9.0,2.69,3.3047688934491437
101,10.0,1.0,2.49,2.991781738558876
106,10.0,6.0,2.41,3.1330610235902228
108,10.0,8.0,2.41,2.7056185596800164
113,11.0,3.0,2.55,3.6499662671173043
115,11.0,5.0,3.09,3.454776956085591
117,11.0,7.0,3.2,3.7265205664310335
118,11.0,8.0,3.03,3.134715879070533
122,12.0,2.0,3.58,3.5791674862751126
124,12.0,4.0,3.49,3.7273085205053675
133,13.0,3.0,2.8016666666666667,2.9299121685779883
138,13.0,8.0,2.0716666666666663,2.4765301885787467
139,13.0,9.0,3.13,2.8773279621645718
140,14.0,0.0,3.31,3.0739363418025656
148,14.0,8.0,2.97,2.9395885717633825
149,14.0,9.0,4.46,3.368811227961979
152,15.0,2.0,3.56,2.9861112001406083
157,15.0,7.0,3.04,3.3802421856357165
158,15.0,8.0,2.5483333333333333,2.7478110803716325
161,16.0,1.0,2.1933333333333334,2.5768804017107527
163,16.0,3.0,1.67,2.7018652197976833
169,16.0,9.0,2.32,2.6331232146032764
175,17.0,5.0,2.58,2.546309554077945
176,17.0,6.0,2.28,2.7092398044414434
177,17.0,7.0,4.04,2.8044940767651734
183,18.0,3.0,2.8016666666666667,3.3836527206401357
184,18.0,4.0,3.41,3.3097847436500096
186,18.0,6.0,4.47,3.356479188547115
190,19.0,0.0,3.04,3.1065774357552307
192,19.0,2.0,2.871666666666667,3.1646160459389807
193,19.0,3.0,2.36,3.434982581617599
198,19.0,8.0,2.81,2.9419228383257527
202,20.0,2.0,2.9883333333333333,3.0686138149936144
203,20.0,3.0,4.35,3.340086121574348
205,20.0,5.0,2.91,3.1764713248269887
209,20.0,9.0,4.45,3.2594940212373498
210,21.0,0.0,2.332,2.4458204970225066
214,21.0,4.0,2.702,2.778554863983866
221,22.0,1.0,2.27,2.555669806676076
227,22.0,7.0,2.36,2.8015701244646736
232,23.0,2.0,3.24,3.131147937821143
236,23.0,6.0,2.9,3.383213595309629
