,user_id,tool_id,s_overall_score,b_overall_score
5,0.0,5.0,2.2000031055940403,2.7156634879216464
8,0.0,8.0,2.340320682361452,2.3858608031363664
9,0.0,9.0,2.6894611594004973,2.810070350126499
10,1.0,0.0,2.663255146371312,2.6501745995746124
13,1.0,3.0,2.7049664142780654,2.9390373426842102
20,2.0,0.0,3.4616592237069077,3.763577549547349
23,2.0,3.0,3.8291849382023764,4.110067452494547
24,2.0,4.0,3.3764495310234106,3.9935553022452592
26,2.0,6.0,3.619993830492448,4.064970219711702
27,2.0,7.0,4.11258073754806,4.1951137175750235
32,3.0,2.0,3.127413565994923,3.276017551230099
34,3.0,4.0,2.877885348951004,3.4714409576164575
37,3.0,7.0,3.262909837455459,3.624994179212075
41,4.0,1.0,3.0109266245216033,3.1772024968877615
45,4.0,5.0,3.079679041069254,3.197033422636612
50,5.0,0.0,3.2074974416121647,3.4722063966065857
56,5.0,6.0,3.5859219172020125,3.759485038360286
61,6.0,1.0,2.6699709566144674,2.7845609352966405
62,6.0,2.0,2.611813035156698,2.669410465780986
69,6.0,9.0,2.4219097200792548,2.8562377219464015
70,7.0,0.0,2.9097048577678377,3.6401881062566694
73,7.0,3.0,3.223044837681801,3.996273149941448
75,7.0,5.0,3.4163178197099247,3.8129712792357644
84,8.0,4.0,3.5382218583800285,4.006389648923745
87,8.0,7.0,3.6949645969726723,4.200880688833063
95,9.0,5.0,3.0120704352397216,3.241434978808222
98,9.0,8.0,2.579120604271386,2.9101403827361185
99,9.0,9.0,2.934839430474112,3.3047688934491437
101,10.0,1.0,2.797041820550455,2.991781738558876
106,10.0,6.0,2.9271306757505697,3.1330610235902228
108,10.0,8.0,2.6914243162573657,2.7056185596800164
113,11.0,3.0,2.607409958813292,3.6499662671173043
115,11.0,5.0,3.162340396929734,3.454776956085591
117,11.0,7.0,3.17075516513766,3.7265205664310335
118,11.0,8.0,2.7797382353250475,3.134715879070533
122,12.0,2.0,3.4647092642491435,3.5791674862751126
124,12.0,4.0,3.418974924124459,3.7273085205053675
133,13.0,3.0,2.8381937584993797,2.9299121685779883
138,13.0,8.0,2.080144486928892,2.4765301885787467
139,13.0,9.0,3.05167971506808,2.8773279621645718
140,14.0,0.0,3.193642195713513,3.0739363418025656
148,14.0,8.0,3.0998385272526465,2.9395885717633825
149,14.0,9.0,3.8490579567035677,3.368811227961979
152,15.0,2.0,2.706427928638739,2.9861112001406083
157,15.0,7.0,3.0446496669512917,3.3802421856357165
158,15.0,8.0,2.6649848357970787,2.7478110803716325
161,16.0,1.0,2.456565274523262,2.5768804017107527
163,16.0,3.0,1.5810745599796239,2.7018652197976833
169,16.0,9.0,2.484935731667039,2.6331232146032764
175,17.0,5.0,2.7700912982782944,2.546309554077945
176,17.0,6.0,2.848066449977529,2.7092398044414434
177,17.0,7.0,3.497620353406141,2.8044940767651734
183,18.0,3.0,2.8873061891793017,3.3836527206401357
184,18.0,4.0,2.9736780306188337,3.3097847436500096
186,18.0,6.0,3.3456274295567394,3.356479188547115
190,19.0,0.0,2.735127465061489,3.1065774357552307
192,19.0,2.0,2.8832446158247085,3.1646160459389807
193,19.0,3.0,2.5997340920623624,3.434982581617599
198,19.0,8.0,2.549745735702832,2.9419228383257527
202,20.0,2.0,2.961353979562014,3.0686138149936144
203,20.0,3.0,3.389649725468374,3.340086121574348
205,20.0,5.0,3.0711759161164225,3.1764713248269887
209,20.0,9.0,3.1907748173285486,3.2594940212373498
210,21.0,0.0,2.443360105909831,2.4458204970225066
214,21.0,4.0,2.5978685288635988,2.778554863983866
221,22.0,1.0,2.6953658959103084,2.555669806676076
227,22.0,7.0,2.7620851773357895,2.8015701244646736
232,23.0,2.0,2.422788488488171,3.131147937821143
236,23.0,6.0,3.065590698169957,3.383213595309629
239,23.0,9.0,2.965670781051275,3.326646294064088
241,24.0,1.0,3.492364569187441,3.588801095726512
243,24.0,3.0,2.938785555249491,3.759954676580672
246,24.0,6.0,3.6955691745728734,3.715653928739602
248,24.0,8.0,2.7864570779679334,3.2506021960615055
253,25.0,3.0,2.9474134112630432,3.499110767934721
256,25.0,6.0,3.2438976039323673,3.4685273220776445
260,26.0,0.0,2.6312566123447403,2.701642141183652
267,26.0,7.0,2.901048334649347,3.0767548241133884
271,27.0,1.0,2.488595726832449,2.624965773400654
272,27.0,2.0,1.8555672326994432,2.4973030958786233
274,27.0,4.0,2.4488944883949366,2.814997189815071
280,28.0,0.0,2.167198665791274,3.057913255564018
282,28.0,2.0,2.8530143588061967,3.1514887604640753
288,28.0,8.0,2.5949614001611487,2.913998033419361
295,29.0,5.0,3.0410674991346456,2.878688962641278
